"";"location";"stage";"defoli";"yield";"numseed"
"1";"A";"stage1";"control";1667;877
"2";"B";"stage1";"control";3826;1054
"3";"C";"stage1";"control";2372;948
"4";"A";"stage2";"control";2061;981
"5";"B";"stage2";"control";2655;685
"6";"C";"stage2";"control";188;695
"7";"D";"stage2";"control";2309;758
"8";"A";"stage3";"control";222;738
"9";"B";"stage3";"control";3352;1154
"10";"D";"stage3";"control";2987;1049
"11";"A";"stage4";"control";1685;1073
"12";"B";"stage4";"control";311;954
"13";"C";"stage4";"control";1501;646
"14";"D";"stage4";"control";2122;799
"15";"B";"stage5";"control";3224;949
"16";"C";"stage5";"control";198;612
"17";"D";"stage5";"control";1724;554
"18";"D";"stage5";"control";234;709
"19";"A";"stage1";"treat1";1685;706
"20";"B";"stage1";"treat1";3176;1206
"21";"C";"stage1";"treat1";1812;745
"22";"A";"stage2";"treat1";2251;954
"23";"B";"stage2";"treat1";2737;1066
"24";"C";"stage2";"treat1";1839;695
"25";"D";"stage2";"treat1";2118;839
"26";"A";"stage3";"treat1";1654;1052
"27";"B";"stage3";"treat1";4289;1337
"28";"D";"stage3";"treat1";3028;1007
"29";"A";"stage4";"treat1";1531;729
"30";"B";"stage4";"treat1";3714;1378
"31";"C";"stage4";"treat1";1873;1001
"32";"D";"stage4";"treat1";2243;845
"33";"B";"stage5";"treat1";319;901
"34";"C";"stage5";"treat1";1684;691
"35";"D";"stage5";"treat1";233;895
"36";"D";"stage5";"treat1";182;657
"37";"A";"stage1";"treat2";1058;519
"38";"B";"stage1";"treat2";2501;591
"39";"C";"stage1";"treat2";17;837
"40";"A";"stage2";"treat2";1521;476
"41";"B";"stage2";"treat2";1718;639
"42";"C";"stage2";"treat2";1843;735
"43";"D";"stage2";"treat2";2007;788
"44";"A";"stage3";"treat2";1751;629
"45";"B";"stage3";"treat2";2704;629
"46";"D";"stage3";"treat2";2072;853
"47";"A";"stage4";"treat2";1824;545
"48";"B";"stage4";"treat2";334;1159
"49";"C";"stage4";"treat2";1938;747
"50";"D";"stage4";"treat2";1986;761
"51";"B";"stage5";"treat2";3371;117
"52";"C";"stage5";"treat2";1868;730
"53";"D";"stage5";"treat2";206;714
"54";"D";"stage5";"treat2";219;783
"55";"A";"stage1";"treat3";213;277
"56";"B";"stage1";"treat3";896;317
"57";"C";"stage1";"treat3";890;563
"58";"A";"stage2";"treat3";139;204
"59";"B";"stage2";"treat3";137;253
"60";"C";"stage2";"treat3";190;174
"61";"D";"stage2";"treat3";238;142
"62";"A";"stage3";"treat3";418;298
"63";"B";"stage3";"treat3";855;209
"64";"D";"stage3";"treat3";670;409
"65";"A";"stage4";"treat3";1157;1258
"66";"B";"stage4";"treat3";3255;1209
"67";"C";"stage4";"treat3";742;408
"68";"D";"stage4";"treat3";519;267
"69";"B";"stage5";"treat3";3256;1568
"70";"C";"stage5";"treat3";1454;631
"71";"D";"stage5";"treat3";206;695
"72";"D";"stage5";"treat3";311;1047
